Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2006-06-13,159563.0,52914.0,74352.0,31585.0,371.0,182.0,14371.0,35579.0,4653.0,10402.0,3386.0,30525.0,144632.0,149048.0,14931.0,10515.0
2006-06-20,157556.0,49622.0,70143.0,31087.0,298.0,216.0,14856.0,36323.0,4702.0,10904.0,3952.0,33426.0,144814.0,149061.0,12743.0,8495.0
2006-06-27,154667.0,43156.0,62069.0,31216.0,475.0,202.0,15285.0,38951.0,5116.0,11797.0,4527.0,35353.0,142126.0,146693.0,12541.0,7974.0
2006-07-03,157478.0,38631.0,66493.0,31419.0,349.0,188.0,17219.0,30877.0,7766.0,11088.0,6510.0,37943.0,144255.0,150127.0,13222.0,7351.0
2006-07-11,154188.0,37868.0,66449.0,31587.0,441.0,101.0,16591.0,30490.0,8650.0,11717.0,5138.0,34152.0,140666.0,145421.0,13523.0,8767.0
2006-07-18,151436.0,36446.0,64564.0,31519.0,418.0,64.0,17740.0,32370.0,7699.0,10734.0,3879.0,33753.0,137956.0,142747.0,13480.0,8689.0
2006-07-25,155756.0,39598.0,63099.0,32076.0,452.0,102.0,17327.0,36403.0,8105.0,10829.0,3977.0,34431.0,142468.0,146569.0,13288.0,9187.0
2006-08-01,153176.0,36988.0,64699.0,31517.0,308.0,54.0,18761.0,33170.0,7790.0,10037.0,4588.0,34006.0,139154.0,144616.0,14022.0,8560.0
2006-08-08,153905.0,32476.0,73540.0,30830.0,409.0,106.0,20478.0,20526.0,10425.0,9547.0,4137.0,36992.0,140854.0,146135.0,13052.0,7770.0
2006-08-15,134945.0,32401.0,71492.0,30216.0,386.0,9.0,16675.0,18338.0,6017.0,10235.0,4278.0,26352.0,121905.0,126872.0,13040.0,8072.0
2006-08-22,133673.0,26424.0,67999.0,30647.0,231.0,31.0,18650.0,16163.0,6917.0,9667.0,5412.0,28673.0,121009.0,125425.0,12664.0,8248.0
2006-08-29,130003.0,27076.0,66026.0,30726.0,170.0,40.0,17589.0,17280.0,5592.0,9961.0,5807.0,28094.0,119078.0,123008.0,10926.0,6995.0
2006-09-05,133046.0,26594.0,67615.0,31556.0,245.0,338.0,18640.0,17474.0,5538.0,9536.0,5758.0,29467.0,121668.0,126435.0,11379.0,6612.0
2006-09-12,132032.0,29296.0,62237.0,31292.0,129.0,255.0,16927.0,22455.0,5598.0,10142.0,6010.0,27970.0,121482.0,124655.0,10550.0,7377.0
2006-09-19,138298.0,33115.0,60989.0,31140.0,97.0,237.0,16063.0,27721.0,6673.0,10232.0,4660.0,29909.0,127367.0,130285.0,10932.0,8013.0
2006-09-26,136541.0,30760.0,62668.0,31208.0,136.0,331.0,16779.0,24271.0,7049.0,9682.0,5056.0,29085.0,124895.0,128596.0,11646.0,7945.0
2006-10-03,142062.0,33716.0,64900.0,31483.0,237.0,314.0,17292.0,24208.0,7085.0,9881.0,5437.0,29584.0,129355.0,131765.0,12707.0,10297.0
2006-10-10,142009.0,34930.0,66000.0,31269.0,351.0,314.0,16911.0,25180.0,6874.0,10158.0,5511.0,30550.0,131007.0,134781.0,11003.0,7228.0
2006-10-17,139345.0,36544.0,64910.0,31350.0,787.0,233.0,17071.0,28922.0,5804.0,9946.0,4093.0,28244.0,129193.0,132993.0,10152.0,6351.0
2006-10-24,143758.0,35484.0,72519.0,31418.0,526.0,278.0,18689.0,23973.0,6094.0,10313.0,4038.0,29751.0,132027.0,137180.0,11730.0,6578.0
2006-10-31,151090.0,34432.0,77773.0,31252.0,791.0,230.0,21911.0,19870.0,6686.0,9274.0,4770.0,34347.0,138132.0,144467.0,12957.0,6623.0
2006-11-07,165573.0,33778.0,85826.0,31433.0,700.0,209.0,26033.0,14584.0,10732.0,10232.0,6004.0,40448.0,152865.0,158502.0,12708.0,7071.0
2006-11-14,155363.0,28353.0,87893.0,30698.0,409.0,238.0,30712.0,9196.0,6919.0,9193.0,7792.0,35369.0,141483.0,147815.0,13880.0,7548.0
2006-11-21,155139.0,28338.0,87284.0,30861.0,358.0,277.0,31748.0,7696.0,8550.0,8577.0,9251.0,34519.0,142870.0,147936.0,12269.0,7203.0
2006-11-28,162836.0,28388.0,90710.0,31180.0,312.0,445.0,33848.0,7429.0,9336.0,9164.0,9553.0,37207.0,149569.0,154992.0,13268.0,7844.0
2006-12-05,171839.0,28831.0,94347.0,31829.0,441.0,554.0,36233.0,7352.0,9564.0,9636.0,10649.0,41173.0,157821.0,164081.0,14018.0,7758.0
2006-12-12,170384.0,30042.0,97821.0,31859.0,200.0,508.0,37901.0,6643.0,7851.0,9665.0,10962.0,37700.0,155527.0,161685.0,14858.0,8699.0
2006-12-19,167635.0,32057.0,96204.0,32174.0,168.0,427.0,34399.0,7151.0,7205.0,9277.0,10303.0,37920.0,153459.0,159378.0,14176.0,8257.0
2006-12-26,175013.0,34163.0,101083.0,32135.0,244.0,488.0,35996.0,6472.0,7601.0,9395.0,10129.0,40861.0,160637.0,166878.0,14375.0,8135.0
2007-01-03,177345.0,35858.0,101713.0,32853.0,232.0,414.0,35093.0,8327.0,7503.0,9940.0,9556.0,42417.0,164078.0,170161.0,13267.0,7184.0
2007-01-09,171344.0,38117.0,95541.0,33003.0,219.0,444.0,27679.0,10155.0,7019.0,9597.0,7638.0,41532.0,157391.0,162548.0,13952.0,8795.0
2007-01-16,171887.0,37212.0,97410.0,35072.0,318.0,445.0,26390.0,9318.0,6770.0,9462.0,7934.0,42037.0,157388.0,164232.0,14499.0,7655.0
2007-01-23,169124.0,41733.0,95046.0,34606.0,239.0,595.0,20310.0,10990.0,6207.0,9929.0,6286.0,41898.0,155277.0,161261.0,13847.0,7863.0
2007-01-30,175153.0,43546.0,96708.0,35081.0,467.0,1112.0,19908.0,11865.0,6553.0,10882.0,6328.0,44261.0,161342.0,167294.0,13811.0,7859.0
2007-02-06,182138.0,50784.0,104732.0,34924.0,299.0,1383.0,20647.0,11912.0,7309.0,10740.0,5837.0,44397.0,170183.0,175870.0,11955.0,6268.0
2007-02-13,165533.0,53840.0,102213.0,34579.0,244.0,1206.0,19612.0,16386.0,6006.0,10254.0,3664.0,28983.0,154480.0,158703.0,11054.0,6831.0
2007-02-20,163978.0,48463.0,95912.0,35186.0,218.0,925.0,19640.0,19207.0,4980.0,11417.0,4064.0,28598.0,149208.0,153904.0,14770.0,10074.0
2007-02-27,167004.0,46096.0,98894.0,35408.0,515.0,926.0,21645.0,18180.0,6723.0,11717.0,3041.0,31841.0,154356.0,160120.0,12648.0,6884.0
2007-03-06,172069.0,49736.0,97475.0,35696.0,304.0,1171.0,22934.0,22654.0,6187.0,10719.0,3274.0,33617.0,160060.0,164683.0,12009.0,7386.0
2007-03-13,174985.0,50231.0,94824.0,35894.0,174.0,1354.0,22575.0,26223.0,8117.0,10455.0,2777.0,34801.0,163426.0,168269.0,11560.0,6716.0
2007-03-20,183371.0,53362.0,94047.0,35990.0,273.0,1445.0,23464.0,31036.0,9927.0,11244.0,3353.0,35376.0,170807.0,175456.0,12563.0,7914.0
2007-03-27,194142.0,51946.0,97108.0,36798.0,232.0,1463.0,26871.0,31283.0,10662.0,11569.0,3909.0,40294.0,179602.0,184952.0,14540.0,9190.0
2007-04-03,199093.0,54574.0,98018.0,36487.0,80.0,1382.0,25741.0,31308.0,11166.0,11135.0,3854.0,41911.0,182397.0,187718.0,16695.0,11374.0
2007-04-10,195067.0,55349.0,98252.0,36358.0,131.0,1312.0,25850.0,31661.0,10588.0,10599.0,3718.0,40723.0,180779.0,186385.0,14289.0,8683.0
2007-04-17,180824.0,50765.0,95997.0,36531.0,23.0,1249.0,26732.0,30204.0,9115.0,10363.0,3751.0,32269.0,167025.0,172607.0,13799.0,8217.0
2007-04-24,184866.0,53950.0,91016.0,36532.0,0.0,1112.0,25620.0,36138.0,9837.0,10574.0,3786.0,35334.0,172959.0,177222.0,11907.0,7644.0
2007-05-01,202785.0,62884.0,90761.0,36352.0,93.0,1200.0,27976.0,46984.0,10736.0,11517.0,3931.0,42298.0,192963.0,196004.0,9823.0,6782.0
2007-05-08,209466.0,65845.0,93089.0,36931.0,88.0,1258.0,28629.0,50179.0,11330.0,11564.0,4270.0,43469.0,199027.0,203683.0,10440.0,5783.0
2007-05-15,207901.0,63166.0,91461.0,37714.0,184.0,1258.0,28566.0,50721.0,13057.0,11684.0,3700.0,41397.0,196841.0,201778.0,11059.0,6123.0
