Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1996-01-02,92.6,94.8,91.1,91.25,5719.0,18717.0
1996-01-03,90.9,94.4,90.4,93.75,6461.0,19257.0
1996-01-04,93.0,98.1,93.0,97.85,8865.0,18918.0
1996-01-05,97.5,99.45,95.8,96.25,6833.0,18599.0
1996-01-10,95.4,98.25,94.8,97.9,5146.0,18542.0
1996-01-11,97.5,103.5,97.25,103.05,10130.0,17662.0
1996-01-12,103.0,103.85,100.8,102.7,5984.0,17314.0
1996-01-15,102.7,103.0,98.7,98.95,6128.0,17227.0
1996-01-16,97.75,105.25,97.75,103.9,9918.0,17601.0
1996-01-17,103.05,105.5,103.05,104.3,6504.0,16852.0
1996-01-18,103.8,107.25,102.25,105.4,8355.0,16314.0
1996-01-19,105.0,107.25,103.6,104.65,5710.0,15884.0
1996-01-22,104.65,107.8,104.25,107.5,6321.0,15322.0
1996-01-23,107.25,109.4,106.6,107.0,6907.0,15103.0
1996-01-24,106.5,109.2,105.8,108.9,6668.0,15003.0
1996-01-25,110.3,111.9,109.6,111.75,5915.0,14721.0
1996-01-26,110.0,117.5,109.7,116.95,9732.0,14641.0
1996-01-29,116.95,123.9,116.95,123.45,8731.0,14053.0
1996-01-30,122.2,123.0,119.0,119.55,6931.0,14090.0
1996-01-31,120.0,131.5,120.0,128.6,11395.0,15577.0
1996-02-01,128.0,129.25,125.8,126.4,5198.0,15628.0
1996-02-02,127.0,130.75,121.0,123.75,8588.0,14732.0
1996-02-05,124.0,124.75,119.75,120.65,4248.0,12778.0
1996-02-06,122.25,127.5,118.75,119.4,6508.0,12536.0
1996-02-07,118.0,119.95,116.6,118.6,5151.0,11715.0
1996-02-08,120.25,124.9,120.25,123.7,4780.0,11446.0
1996-02-09,124.5,127.2,124.5,126.05,4373.0,10734.0
1996-02-12,126.5,129.85,121.1,121.6,7040.0,9548.0
1996-02-13,121.5,125.5,120.4,122.8,3954.0,8414.0
1996-02-14,121.6,124.7,121.6,122.65,3382.0,7815.0
1996-02-15,120.3,124.5,120.3,122.9,5162.0,13985.0
1996-02-16,122.3,124.0,121.1,122.5,4307.0,14710.0
