Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2006-06-13,1651025.0,287963.0,781118.0,373170.0,1174.0,13781.0,217971.0,31383.0,149585.0,76534.0,37407.0,301811.0,1420815.0,1316260.0,230210.0,334765.0
2006-06-20,1660431.0,313909.0,742914.0,370100.0,6244.0,12795.0,188222.0,51725.0,171158.0,72671.0,37711.0,313163.0,1442018.0,1335710.0,218413.0,324721.0
2006-06-27,1599046.0,310586.0,714314.0,369097.0,14955.0,13353.0,192676.0,85370.0,143459.0,73313.0,33513.0,285370.0,1387853.0,1290334.0,211193.0,308712.0
2006-07-03,1630673.0,290596.0,728224.0,373327.0,10016.0,15222.0,215391.0,97802.0,142658.0,76623.0,35155.0,296343.0,1410159.0,1325418.0,220513.0,305254.0
2006-07-11,1671220.0,288127.0,765627.0,381437.0,2136.0,17413.0,227375.0,66799.0,161551.0,71808.0,43638.0,307662.0,1455374.0,1364826.0,215846.0,306394.0
2006-07-18,1666137.0,284985.0,779133.0,392972.0,0.0,14798.0,224003.0,33658.0,165270.0,67808.0,46426.0,311389.0,1461225.0,1350674.0,204912.0,315463.0
2006-07-25,1703133.0,293000.0,774021.0,385520.0,684.0,16116.0,220761.0,48723.0,166974.0,79309.0,38599.0,335646.0,1497326.0,1380762.0,205807.0,322371.0
2006-08-01,1731018.0,283494.0,769550.0,395206.0,1939.0,14019.0,231366.0,60325.0,171655.0,70912.0,39033.0,350908.0,1517560.0,1407430.0,213458.0,323588.0
2006-08-08,1699740.0,280528.0,752304.0,398384.0,2566.0,13126.0,223341.0,64325.0,170440.0,72871.0,36769.0,335296.0,1493986.0,1374825.0,205754.0,324915.0
2006-08-15,1704444.0,334372.0,723013.0,384362.0,3575.0,14570.0,193068.0,102958.0,179684.0,80069.0,32098.0,323140.0,1509265.0,1379038.0,195180.0,325407.0
2006-08-22,1701840.0,339327.0,707231.0,387955.0,5125.0,15260.0,197270.0,116636.0,176315.0,64721.0,34523.0,324479.0,1505328.0,1379569.0,196512.0,322271.0
2006-08-29,1625725.0,298897.0,682005.0,394176.0,6270.0,14273.0,210127.0,124710.0,155155.0,63922.0,34043.0,297236.0,1433786.0,1313691.0,191940.0,312034.0
2006-09-05,1635746.0,279970.0,679567.0,397604.0,6836.0,17248.0,215646.0,119073.0,157361.0,67476.0,34815.0,307694.0,1443000.0,1322593.0,192746.0,313153.0
