Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1996-01-02,371.0,375.25,370.25,373.25,258495.0,1466855.0
1996-01-03,373.0,374.5,370.25,374.0,259050.0,1426400.0
1996-01-04,373.5,373.75,365.0,369.0,392195.0,1389390.0
1996-01-05,366.75,369.0,365.5,366.5,245720.0,1359685.0
1996-01-08,364.5,364.5,360.0,360.5,297685.0,1329650.0
1996-01-09,359.0,367.0,359.0,366.75,263615.0,1322010.0
1996-01-10,367.5,367.5,362.0,362.25,220025.0,1293705.0
1996-01-11,362.25,362.25,356.0,357.5,330275.0,1241765.0
1996-01-12,357.75,363.0,357.75,362.75,199970.0,1224620.0
1996-01-15,362.0,365.25,361.5,365.0,184220.0,1211455.0
1996-01-16,368.5,368.5,353.5,354.0,490150.0,1172625.0
1996-01-17,355.0,356.25,347.5,351.25,412720.0,1121790.0
1996-01-18,353.0,355.25,352.5,355.0,203925.0,1082455.0
1996-01-19,358.5,361.25,357.0,360.75,201150.0,1050835.0
1996-01-22,360.75,362.0,355.75,357.75,218440.0,1031470.0
1996-01-23,357.0,361.0,354.0,360.75,282590.0,1008995.0
1996-01-24,361.0,361.75,358.25,358.75,184695.0,1008785.0
1996-01-25,358.75,360.5,355.5,356.25,167095.0,1000090.0
1996-01-26,356.0,358.25,354.0,357.5,163120.0,978570.0
1996-01-29,360.0,364.75,358.75,363.75,207995.0,955235.0
1996-01-30,364.0,368.0,362.0,367.75,250430.0,928055.0
1996-01-31,367.25,369.5,365.25,369.0,235600.0,905095.0
1996-02-01,367.5,370.25,365.5,366.5,177720.0,886675.0
1996-02-02,366.25,369.0,364.25,366.75,158070.0,877905.0
1996-02-05,365.0,365.0,361.0,361.5,185910.0,845215.0
1996-02-06,360.5,363.75,359.25,363.5,146650.0,824835.0
1996-02-07,363.0,365.0,360.25,361.0,177375.0,802465.0
1996-02-08,360.0,362.0,358.5,359.25,188590.0,773190.0
1996-02-09,361.0,364.0,360.5,363.0,163175.0,732945.0
1996-02-12,363.25,366.0,363.25,365.0,126885.0,713065.0
1996-02-13,365.75,372.0,365.0,371.5,229420.0,696595.0
1996-02-14,373.0,381.25,373.0,378.5,309820.0,676515.0
1996-02-15,377.25,379.75,376.75,378.25,143080.0,641125.0
1996-02-16,377.5,382.25,377.5,380.0,171960.0,607930.0
1996-02-20,379.5,380.5,375.75,379.75,173550.0,563355.0
1996-02-21,379.5,380.75,376.75,377.25,173025.0,527665.0
1996-02-22,374.5,377.0,372.5,375.0,179960.0,467565.0
1996-02-23,380.5,384.25,380.5,383.5,177410.0,947120.0
1996-02-26,384.0,388.25,383.0,387.5,211710.0,971605.0
1996-02-27,388.0,391.0,386.0,387.0,306870.0,1006465.0
1996-02-28,385.5,389.5,385.25,389.25,251865.0,1029660.0
1996-02-29,390.0,390.5,384.0,389.25,285715.0,1045145.0
1996-03-01,389.0,389.0,385.0,386.75,160395.0,1041875.0
1996-03-05,383.0,384.25,378.5,380.0,219830.0,1009475.0
1996-03-06,382.0,383.75,378.25,381.0,195045.0,1002210.0
1996-03-07,384.5,388.5,384.0,388.0,200020.0,1021915.0
1996-03-08,388.5,390.5,385.75,388.5,172265.0,1012360.0
1996-03-11,385.0,390.0,385.0,389.5,129685.0,1005630.0
1996-03-12,387.75,390.5,385.0,386.25,226505.0,1008825.0
1996-03-13,386.0,389.75,385.75,389.25,186445.0,1004485.0
1996-03-14,391.5,394.75,389.5,390.25,285985.0,1006810.0
1996-03-15,387.5,388.0,383.0,383.25,254365.0,981715.0
1996-03-18,380.0,386.0,380.0,385.75,223095.0,967515.0
1996-03-19,386.0,389.25,383.75,385.5,254195.0,965750.0
1996-03-20,386.0,387.75,383.75,387.0,189710.0,950690.0
1996-03-21,387.25,388.5,384.75,387.75,112765.0,940340.0
1996-03-22,387.5,391.0,387.5,390.0,164640.0,935485.0
1996-03-25,389.5,394.25,389.5,393.5,179910.0,920580.0
1996-03-26,395.5,398.5,394.0,396.75,220430.0,908500.0
