Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1997-10-06,8240.0,8253.0,8200.0,8253.0,74.0,0.0
1997-10-07,8240.0,8335.0,8240.0,8317.0,10.0,38.0
1997-10-08,8328.0,8328.0,8200.0,8251.0,9.0,37.0
1997-10-09,8184.0,8231.0,8140.0,8208.0,1.0,34.0
1997-10-10,8124.0,8212.0,8124.0,8205.0,17.0,34.0
1997-10-14,8244.0,8253.0,8165.0,8232.0,16.0,43.0
1997-10-16,8223.0,8240.0,8035.0,8051.0,30.0,45.0
1997-10-17,8022.0,8040.0,7870.0,7977.0,46.0,66.0
1997-10-20,7985.0,8045.0,7950.0,8044.0,315.0,84.0
1997-10-21,8080.0,8200.0,8075.0,8198.0,64.0,348.0
1997-10-22,8184.0,8184.0,8115.0,8159.0,403.0,380.0
1997-10-23,7884.0,8035.0,7884.0,7967.0,81.0,583.0
1997-10-24,8062.0,8065.0,7805.0,7812.0,89.0,574.0
1997-10-27,7740.0,7800.0,7262.0,7262.0,114.0,630.0
1997-10-28,7020.0,7630.0,6970.0,7580.0,241.0,709.0
1997-10-29,7607.0,7715.0,7550.0,7629.0,229.0,722.0
1997-10-30,7450.0,7630.0,7438.0,7438.0,16.0,962.0
1997-10-31,7575.0,7600.0,7470.0,7575.0,9.0,965.0
1997-11-03,7660.0,7805.0,7660.0,7803.0,37.0,936.0
1997-11-04,7746.0,7815.0,7730.0,7779.0,203.0,956.0
1997-11-05,7786.0,7875.0,7770.0,7785.0,147.0,1035.0
1997-11-06,7777.0,7805.0,7735.0,7791.0,71.0,1033.0
1997-11-07,7635.0,7710.0,7570.0,7687.0,28.0,1067.0
1997-11-10,7720.0,7750.0,7645.0,7653.0,616.0,1090.0
1997-11-11,7674.0,7685.0,7620.0,7655.0,230.0,1462.0
1997-11-12,7550.0,7630.0,7480.0,7483.0,208.0,1676.0
1997-11-13,7553.0,7610.0,7440.0,7589.0,304.0,1690.0
1997-11-14,7613.0,7675.0,7560.0,7674.0,152.0,1866.0
1997-11-17,7765.0,7835.0,7745.0,7797.0,432.0,1939.0
1997-11-18,7805.0,7820.0,7738.0,7760.0,572.0,2288.0
1997-11-19,7740.0,7850.0,7730.0,7831.0,455.0,2605.0
1997-11-20,7860.0,7945.0,7860.0,7935.0,311.0,2649.0
1997-11-21,7958.0,7998.0,7890.0,7998.0,493.0,2895.0
1997-11-24,7942.0,7950.0,7855.0,7866.0,61.0,3111.0
1997-11-25,7895.0,7915.0,7825.0,7897.0,521.0,3090.0
1997-11-26,7950.0,7950.0,7890.0,7894.0,321.0,2956.0
1997-11-28,7900.0,7950.0,7900.0,7900.0,505.0,3432.0
1997-12-01,7960.0,8126.0,7945.0,8126.0,745.0,3638.0
1997-12-02,8120.0,8140.0,8090.0,8118.0,505.0,3945.0
1997-12-03,8130.0,8180.0,8060.0,8122.0,424.0,4053.0
1997-12-04,8157.0,8205.0,8125.0,8156.0,1227.0,4155.0
1997-12-05,8078.0,8261.0,8075.0,8258.0,358.0,4818.0
1997-12-08,8260.0,8265.0,8170.0,8203.0,573.0,4853.0
1997-12-09,8160.0,8199.0,8115.0,8148.0,1175.0,4985.0
1997-12-10,8107.0,8125.0,8000.0,8057.0,1500.0,5638.0
1997-12-11,7962.0,8005.0,7885.0,7928.0,13205.0,5927.0
1997-12-12,7977.0,8000.0,7865.0,7937.0,14655.0,8149.0
1997-12-15,7962.0,8035.0,7950.0,8005.0,11467.0,8737.0
1997-12-16,8040.0,8108.0,8035.0,8065.0,11655.0,9271.0
1997-12-17,8102.0,8114.0,8003.0,8019.0,14888.0,9409.0
1997-12-18,8027.0,8030.0,7870.0,7920.0,14166.0,11391.0
1997-12-19,7832.0,7884.0,7635.0,7843.0,15265.0,12109.0
1997-12-22,7847.0,7925.0,7810.0,7882.0,8273.0,11886.0
1997-12-23,7887.0,7900.0,7720.0,7745.0,6099.0,11746.0
1997-12-24,7792.0,7810.0,7720.0,7740.0,3199.0,11681.0
1997-12-26,7775.0,7785.0,7725.0,7745.0,2004.0,11417.0
1997-12-29,7812.0,7889.0,7800.0,7884.0,5613.0,11391.0
1997-12-30,7907.0,7995.0,7890.0,7980.0,7025.0,11315.0
1997-12-31,7982.0,8028.0,7945.0,7965.0,4213.0,10885.0
1998-01-02,7995.0,8040.0,7935.0,8034.0,5234.0,10825.0
1998-01-05,8037.0,8105.0,7960.0,8052.0,12897.0,10771.0
1998-01-06,8012.0,8015.0,7918.0,7935.0,12015.0,10922.0
1998-01-07,7905.0,7976.0,7833.0,7971.0,13773.0,11135.0
1998-01-08,7915.0,7935.0,7838.0,7843.0,12251.0,11334.0
1998-01-09,7835.0,7850.0,7545.0,7588.0,18083.0,11477.0
1998-01-12,7485.0,7710.0,7445.0,7695.0,17221.0,12566.0
1998-01-13,7727.0,7780.0,7700.0,7775.0,14049.0,13070.0
1998-01-14,7812.0,7830.0,7740.0,7820.0,11735.0,13532.0
1998-01-15,7816.0,7818.0,7710.0,7713.0,10228.0,13874.0
1998-01-16,7780.0,7840.0,7775.0,7797.0,15454.0,13982.0
1998-01-20,7840.0,7925.0,7777.0,7923.0,12730.0,14786.0
1998-01-21,7870.0,7875.0,7745.0,7820.0,15097.0,13565.0
1998-01-22,7755.0,7820.0,7730.0,7748.0,13569.0,13823.0
1998-01-23,7767.0,7807.0,7660.0,7738.0,16268.0,14211.0
1998-01-26,7767.0,7795.0,7715.0,7756.0,10100.0,15313.0
1998-01-27,7737.0,7887.0,7730.0,7849.0,12176.0,15044.0
1998-01-28,7882.0,7950.0,7850.0,7942.0,12766.0,14738.0
1998-01-29,7932.0,8052.0,7917.0,7975.0,13301.0,14532.0
1998-01-30,8012.0,8020.0,7921.0,7953.0,10019.0,14648.0
1998-02-02,8082.0,8160.0,8065.0,8129.0,12128.0,14543.0
1998-02-03,8117.0,8195.0,8090.0,8187.0,12057.0,14873.0
