Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1996-01-02,388.3,392.0,388.0,391.9,41453.0,57500.0
1996-01-03,392.4,396.3,392.2,396.2,102217.0,79518.0
1996-01-04,394.4,395.8,394.1,395.4,37223.0,83787.0
1996-01-05,397.8,399.2,396.2,396.5,49601.0,89355.0
1996-01-09,395.8,397.1,394.8,396.9,27499.0,90634.0
1996-01-10,397.8,403.0,397.8,400.2,74480.0,103163.0
1996-01-11,400.0,400.6,398.8,399.3,40319.0,103776.0
1996-01-12,400.5,400.9,396.5,396.7,45436.0,97237.0
1996-01-15,394.7,396.3,394.0,396.1,32344.0,95690.0
1996-01-16,397.3,398.9,397.2,398.8,28832.0,95882.0
1996-01-17,399.5,400.1,397.5,400.0,37651.0,95717.0
1996-01-18,398.0,398.6,397.1,397.6,24440.0,95502.0
1996-01-19,397.1,401.3,396.8,399.9,46651.0,99982.0
1996-01-22,402.5,403.7,401.8,403.5,62118.0,99246.0
1996-01-23,404.4,405.3,402.6,403.6,50796.0,84743.0
1996-01-24,403.0,404.5,401.5,403.5,36591.0,73420.0
1996-01-25,403.9,408.4,403.7,406.7,59303.0,62674.0
1996-01-26,408.6,409.5,405.2,405.8,48033.0,49870.0
1996-01-29,408.0,409.7,407.0,408.8,44998.0,101499.0
1996-01-30,409.5,410.4,405.8,407.0,68826.0,114902.0
1996-01-31,406.2,408.8,406.1,408.5,38461.0,114854.0
1996-02-01,409.5,414.0,409.1,413.7,63681.0,124821.0
1996-02-02,419.0,419.6,415.6,417.7,69526.0,129504.0
1996-02-05,417.4,418.0,415.6,415.9,35478.0,129774.0
1996-02-06,414.9,415.3,412.5,414.6,45009.0,132827.0
1996-02-07,417.2,417.6,409.5,411.4,83955.0,134471.0
1996-02-08,409.7,412.0,409.3,411.5,23310.0,133479.0
1996-02-09,411.5,411.6,406.5,407.8,49876.0,128268.0
1996-02-12,407.1,407.9,402.1,403.3,63667.0,123468.0
1996-02-13,404.8,406.0,402.7,405.1,44683.0,121173.0
1996-02-14,406.5,406.8,404.3,406.5,34437.0,119441.0
