Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1999-06-21,2257.5,2296.0,2248.5,2295.0,2136.0,0.0
1999-06-22,2292.0,2310.0,2238.0,2242.5,4432.0,245.0
1999-06-23,2240.0,2264.5,2215.0,2259.0,4625.0,537.0
1999-06-24,2260.0,2263.0,2208.5,2218.0,4395.0,685.0
1999-06-25,2216.0,2252.5,2194.0,2215.0,2751.0,762.0
1999-06-28,2224.0,2267.5,2213.5,2263.5,4239.0,1003.0
1999-06-29,2260.0,2304.5,2252.0,2294.0,3371.0,1235.0
1999-06-30,2293.5,2348.5,2268.5,2327.0,2785.0,1299.0
1999-07-01,2326.0,2357.0,2295.0,2345.5,2456.0,1387.0
1999-07-02,2345.0,2380.0,2330.0,2376.5,1247.0,1445.0
1999-07-06,2372.5,2410.0,2347.0,2366.0,2913.0,1494.0
1999-07-07,2365.0,2375.5,2341.0,2362.5,3440.0,1524.0
1999-07-08,2368.0,2405.0,2350.5,2389.0,3604.0,1674.0
1999-07-09,2392.0,2419.5,2384.0,2417.5,2126.0,2046.0
1999-07-12,2419.0,2437.0,2404.0,2404.5,3650.0,2158.0
1999-07-13,2409.5,2409.5,2372.5,2395.0,3552.0,2165.0
1999-07-14,2392.5,2438.0,2382.0,2435.5,3067.0,2235.0
1999-07-15,2435.0,2456.5,2428.5,2453.0,2875.0,2379.0
1999-07-16,2451.5,2489.5,2446.5,2474.0,1798.0,2329.0
1999-07-19,2474.0,2489.0,2442.0,2455.5,2699.0,2484.0
1999-07-20,2448.5,2450.5,2349.0,2353.0,3934.0,2634.0
1999-07-21,2356.0,2387.5,2342.0,2368.0,3047.0,2652.0
1999-07-22,2370.0,2373.0,2298.5,2308.0,3224.0,2742.0
1999-07-23,2305.0,2333.0,2283.5,2310.0,2485.0,2719.0
1999-07-26,2311.0,2317.0,2249.0,2255.0,2851.0,2787.0
1999-07-27,2255.0,2332.5,2255.0,2306.5,3644.0,2934.0
1999-07-28,2310.5,2356.0,2292.0,2338.0,3190.0,2856.0
1999-07-29,2339.0,2342.0,2269.0,2287.5,3528.0,2960.0
1999-07-30,2296.0,2327.0,2276.5,2276.5,2712.0,3146.0
1999-08-02,2276.5,2325.0,2260.5,2274.0,3088.0,3233.0
1999-08-03,2274.0,2302.5,2224.0,2257.0,4979.0,3329.0
1999-08-04,2257.0,2273.5,2212.0,2214.0,3463.0,3561.0
1999-08-05,2216.0,2245.5,2164.5,2245.5,4686.0,3688.0
1999-08-06,2242.5,2273.5,2211.0,2222.0,3736.0,3885.0
1999-08-09,2220.0,2244.0,2193.0,2196.0,4108.0,3892.0
1999-08-10,2194.5,2207.5,2132.0,2175.5,5955.0,3922.0
1999-08-11,2175.0,2251.5,2175.0,2248.0,3989.0,4126.0
1999-08-12,2247.0,2272.5,2219.5,2223.0,4343.0,4145.0
1999-08-13,2221.0,2319.5,2209.0,2318.0,2947.0,4180.0
1999-08-16,2320.0,2348.0,2303.0,2338.5,3878.0,4373.0
1999-08-17,2338.0,2359.0,2289.0,2345.0,4601.0,4227.0
1999-08-18,2350.0,2363.5,2320.0,2321.5,3717.0,4365.0
1999-08-19,2322.0,2329.0,2278.0,2289.0,4291.0,4411.0
1999-08-20,2291.0,2420.0,2282.5,2329.5,1928.0,4576.0
1999-08-23,2329.0,2399.5,2325.0,2399.5,2778.0,4637.0
1999-08-24,2402.0,2444.5,2379.5,2416.5,3530.0,4844.0
1999-08-25,2415.0,2476.5,2406.5,2470.5,3037.0,4703.0
1999-08-26,2470.0,2477.5,2425.0,2429.0,3321.0,4920.0
1999-08-27,2425.0,2449.0,2399.5,2406.0,3282.0,4760.0
1999-08-30,2405.0,2421.0,2363.0,2373.5,3161.0,4817.0
1999-08-31,2379.0,2409.0,2332.5,2393.0,4640.0,4803.0
1999-09-01,2395.0,2432.0,2389.0,2414.0,4280.0,4832.0
1999-09-02,2413.5,2416.5,2362.0,2400.0,3404.0,4942.0
1999-09-03,2403.5,2513.0,2396.0,2512.5,2633.0,5011.0
1999-09-07,2531.0,2531.0,2497.0,2501.0,3398.0,5244.0
1999-09-08,2500.0,2508.5,2456.0,2467.0,4583.0,5464.0
1999-09-09,2472.0,2538.0,2472.0,2535.0,2263.0,26.0
1999-09-10,2538.0,2585.0,2525.0,2565.5,3070.0,363.0
1999-09-13,2577.5,2577.5,2518.0,2528.5,3680.0,574.0
1999-09-14,2529.0,2561.0,2509.5,2544.0,4505.0,782.0
1999-09-15,2544.0,2579.5,2491.0,2494.0,5095.0,1088.0
1999-09-16,2493.0,2513.0,2442.5,2488.5,5922.0,1558.0
1999-09-17,2497.0,2574.0,2492.5,2573.0,3096.0,1710.0
1999-09-20,2585.0,2588.0,2551.0,2570.0,2335.0,2100.0
1999-09-21,2578.0,2578.0,2503.0,2511.5,5116.0,2076.0
1999-09-22,2510.0,2548.5,2483.0,2536.5,5365.0,1887.0
1999-09-23,2537.0,2567.0,2415.5,2432.5,6163.0,1837.0
1999-09-24,2433.0,2439.5,2375.0,2425.0,5969.0,1770.0
1999-09-27,2427.0,2486.5,2427.0,2451.0,5198.0,1759.0
1999-09-28,2451.0,2470.0,2386.0,2464.5,5805.0,2110.0
1999-09-29,2464.0,2476.5,2415.0,2418.5,5981.0,2392.0
1999-09-30,2417.0,2462.5,2405.0,2438.5,5848.0,2351.0
1999-10-01,2436.5,2440.0,2379.5,2434.5,4173.0,2333.0
1999-10-04,2431.5,2499.5,2424.5,2496.0,3672.0,2360.0
1999-10-05,2496.0,2535.5,2458.0,2508.5,5343.0,2382.0
1999-10-06,2504.5,2559.0,2501.0,2555.5,4548.0,2424.0
1999-10-07,2555.5,2599.0,2533.0,2549.0,5931.0,2473.0
1999-10-08,2550.0,2580.5,2505.0,2580.5,5270.0,2762.0
1999-10-11,2578.0,2612.0,2568.0,2612.0,2303.0,2906.0
1999-10-12,2609.0,2617.0,2545.5,2559.5,5026.0,2758.0
1999-10-13,2532.0,2554.5,2465.5,2475.0,6726.0,2882.0
1999-10-14,2486.0,2508.0,2445.0,2494.5,6473.0,3038.0
1999-10-15,2495.0,2498.5,2405.0,2419.0,4699.0,3196.0
1999-10-18,2406.5,2437.0,2318.5,2385.5,6291.0,3432.0
1999-10-19,2380.5,2424.0,2359.5,2382.5,5848.0,3463.0
1999-10-20,2396.0,2492.0,2396.0,2471.0,5597.0,3442.0
1999-10-21,2470.5,2514.0,2413.0,2513.0,5618.0,3315.0
1999-10-22,2511.0,2547.0,2493.0,2496.5,3986.0,3273.0
1999-10-25,2497.5,2528.0,2470.0,2499.5,4623.0,3153.0
1999-10-26,2499.5,2545.0,2476.0,2476.0,4965.0,3252.0
1999-10-27,2475.0,2489.0,2438.0,2478.0,4763.0,3210.0
1999-10-28,2478.0,2564.5,2457.0,2560.5,4413.0,3164.0
1999-10-29,2560.0,2672.0,2551.0,2654.0,4403.0,3276.0
1999-11-01,2650.0,2682.5,2633.0,2637.5,3570.0,3516.0
1999-11-02,2633.0,2684.5,2626.5,2641.5,5503.0,3332.0
1999-11-03,2641.0,2705.5,2640.0,2694.5,4812.0,3581.0
1999-11-04,2693.5,2732.0,2692.0,2721.0,4588.0,3898.0
1999-11-05,2723.0,2784.0,2710.0,2783.0,3888.0,3620.0
1999-11-08,2750.5,2810.0,2740.5,2808.0,4281.0,3944.0
1999-11-09,2805.0,2847.5,2753.0,2785.5,5861.0,4190.0
1999-11-10,2786.0,2839.0,2770.0,2817.0,5598.0,4187.0
1999-11-11,2810.5,2869.0,2810.5,2866.0,4746.0,4278.0
1999-11-12,2864.0,2910.0,2802.0,2908.5,6261.0,4844.0
1999-11-15,2908.5,2918.0,2883.5,2896.0,4665.0,5150.0
1999-11-16,2892.0,2984.0,2889.0,2976.5,5622.0,4920.0
1999-11-17,2922.0,2985.0,2920.0,2930.0,5607.0,5127.0
1999-11-18,2929.5,3021.0,2923.5,3020.0,7512.0,5062.0
1999-11-19,3015.0,3049.0,2992.5,3046.5,5773.0,5363.0
1999-11-22,3052.0,3069.5,3019.0,3069.0,5209.0,5616.0
1999-11-23,3066.0,3078.0,2982.5,3015.5,7267.0,5748.0
1999-11-24,3011.0,3123.5,2990.0,3123.5,6032.0,5757.0
1999-11-26,3119.5,3165.0,3112.5,3121.0,2099.0,6714.0
1999-11-29,3124.0,3142.5,3067.0,3074.5,7106.0,6779.0
1999-11-30,3071.0,3079.0,2968.0,2972.5,9115.0,6685.0
1999-12-01,2971.0,3030.0,2961.5,3014.0,9468.0,6846.0
1999-12-02,3015.5,3115.0,3010.5,3112.5,7442.0,7257.0
1999-12-03,3110.0,3218.5,3094.0,3174.5,8294.0,7661.0
1999-12-06,3174.5,3229.0,3157.0,3204.5,7667.0,8441.0
1999-12-07,3200.0,3227.0,3160.5,3211.5,10986.0,8793.0
1999-12-08,3205.0,3228.0,3160.0,3165.0,10673.0,9517.0
1999-12-09,3211.0,3268.0,3120.0,3211.5,7787.0,184.0
1999-12-10,3210.0,3258.0,3173.0,3255.0,8573.0,1104.0
1999-12-13,3252.0,3307.5,3223.0,3287.0,9591.0,2200.0
1999-12-14,3285.0,3324.0,3210.5,3224.0,11384.0,3245.0
1999-12-15,3226.0,3287.0,3169.0,3275.5,12532.0,2552.0
1999-12-16,3282.0,3383.0,3276.0,3382.0,10766.0,3048.0
1999-12-17,3383.0,3458.5,3379.0,3414.0,8345.0,4230.0
1999-12-20,3400.0,3456.5,3391.0,3446.5,7837.0,4724.0
1999-12-21,3439.0,3599.0,3431.5,3599.0,8968.0,5453.0
1999-12-22,3594.0,3626.0,3549.5,3619.5,8637.0,6415.0
1999-12-23,3613.5,3682.0,3599.5,3644.0,5642.0,6672.0
1999-12-27,3635.5,3678.5,3566.0,3640.0,8313.0,6949.0
1999-12-28,3635.0,3674.0,3596.0,3622.5,8107.0,6766.0
1999-12-29,3621.5,3748.0,3611.5,3744.5,7255.0,6400.0
1999-12-30,3744.5,3804.5,3720.0,3734.5,7790.0,6750.0
1999-12-31,3728.5,3772.0,3722.5,3754.0,3539.0,7114.0
2000-01-03,3750.0,3895.0,3681.0,3844.5,15414.0,6700.0
2000-01-04,3838.5,3842.5,3525.0,3557.5,15455.0,7459.0
2000-01-05,3557.5,3618.0,3395.0,3512.5,15272.0,7653.0
2000-01-06,3493.0,3553.0,3282.5,3312.5,15550.0,7471.0
2000-01-07,3284.5,3574.5,3257.0,3557.5,14126.0,8241.0
2000-01-10,3561.0,3804.5,3554.5,3770.0,15742.0,8355.0
2000-01-11,3765.0,3766.0,3542.0,3575.0,16839.0,8595.0
2000-01-12,3576.0,3615.0,3476.0,3503.5,15547.0,8514.0
2000-01-13,3508.0,3652.5,3502.0,3652.5,13409.0,8232.0
2000-01-14,3660.0,3785.0,3645.0,3751.5,12244.0,8262.0
2000-01-18,3743.0,3819.5,3669.5,3807.0,14821.0,9089.0
2000-01-19,3800.5,3850.5,3741.0,3850.0,14308.0,9726.0
2000-01-20,3847.0,3913.0,3811.0,3876.5,16054.0,9544.0
2000-01-21,3870.0,3914.0,3824.0,3889.5,10416.0,9136.0
2000-01-24,3891.5,3938.0,3675.5,3683.5,15881.0,8891.0
2000-01-25,3675.0,3797.0,3606.5,3791.5,17930.0,8518.0
2000-01-26,3775.0,3787.5,3637.5,3654.5,14483.0,8390.0
2000-01-27,3628.5,3734.0,3526.0,3636.0,15985.0,8988.0
2000-01-28,3640.5,3685.0,3409.0,3475.0,16259.0,8550.0
2000-01-31,3462.0,3620.0,3371.0,3612.5,17839.0,9034.0
2000-02-01,3606.5,3735.0,3564.0,3723.5,13663.0,8882.0
2000-02-02,3719.5,3816.0,3692.0,3734.0,13436.0,6788.0
2000-02-03,3734.0,3892.5,3713.0,3892.5,16812.0,6786.0
2000-02-04,3888.0,3960.0,3861.0,3906.5,11605.0,7558.0
2000-02-07,3906.5,3958.5,3875.5,3957.0,10266.0,7807.0
2000-02-08,3944.5,4098.5,3942.0,4095.0,15069.0,8322.0
2000-02-09,4100.0,4144.0,3976.5,3976.5,19889.0,9712.0
2000-02-10,3971.0,4116.0,3968.0,4112.0,18454.0,9671.0
2000-02-11,4109.0,4140.0,3950.0,3992.5,18652.0,9833.0
2000-02-14,3983.5,4028.0,3934.0,4003.5,18078.0,9685.0
2000-02-15,3999.5,4050.0,3861.0,4036.5,23417.0,9456.0
2000-02-16,4034.5,4087.0,3995.0,4020.5,19888.0,9675.0
2000-02-17,4026.0,4146.0,4011.0,4106.5,18302.0,9159.0
2000-02-18,4110.0,4141.0,3962.5,3968.0,18802.0,9579.0
2000-02-22,3954.5,4018.0,3865.5,3967.5,22638.0,9595.0
