trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-53.6400096590089,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-61.99754468580338,"{0: 6, 1: 3, 2: 0, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-139.7491284523779,"{0: 17, 1: 8, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-54.89773480312717,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-37.44393825079257,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-67.38592022628333,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-147.13884008457723,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-116.62302590426677,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,12,-5.2826470696556305,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-46.68134325996281,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-33.973655862284545,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-34.16696179047495,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-41.196237163976555,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-52.415995805198676,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-58.377649473254955,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-39.12835178067111,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,15,7.1584319477076,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.912102410015144,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,31.268622795148005,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,26.385906907982807,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-9.54520499035257,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,20.19729991097666,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,27.064097436818063,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,27.111140671622476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-10.535322406872083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,5.518791998121015,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,36.04545082616847,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,1.6996294330306938,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,39.129103300967344,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,33.56407448292876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
