trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-104.43673543276451,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5984420262435418, 'e': 0.9875778004938814}",20,0,-106.5403482871085,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5972463382775833, 'e': 0.9777512371933363}",20,0,-75.89891413216662,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5960530392977743, 'e': 0.968022449831306}",25,0,-166.80831284257383,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5945647678140258, 'e': 0.9559974818331}",30,0,-124.97779937127093,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.592783746378503, 'e': 0.9417645335842487}",20,1,-41.57602309699438,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5916585265577171, 'e': 0.932860133384556}",30,0,-134.4633306770893,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5898862107809457, 'e': 0.9189716553768317}",25,0,-87.83270149905377,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5884133371131997, 'e': 0.9075560061332727}",20,0,-145.61288794418022,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5872376864814886, 'e': 0.8985256729903055}",20,0,-74.88727973787009,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5860643848013063, 'e': 0.8895851931634113}",20,8,-17.623500949936652,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5853615293371658, 'e': 0.8842636625608209}",30,0,-101.66693068259742,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5836080762438839, 'e': 0.8710986917457983}",20,0,-13.75674389076352,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5824420265297934, 'e': 0.8624311149420455}",20,11,-13.31573745272271,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5819180645241866, 'e': 0.8585588939563946}",20,0,-32.63601424816301,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5807553914557643, 'e': 0.8500160902253981}",30,19,-42.871563070438825,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
