trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",25,0,-1.1918914310868873,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.036565957845399504}",25,0,-51.45411165599835,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.024920359827082426}",25,0,-114.27464673515814,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.02098646358634095}",25,0,37.765874118747256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.01900965988906431}",20,0,25.001332699336743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.25, 'e': 0.018018784427297492}",20,0,3.1850982515689417,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.0173100044971063}",20,0,-23.305149956231592,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.01677786555493593}",25,0,23.088202749917834,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.016274053405669908}",20,0,-19.7611589252893,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.25, 'e': 0.015959262158822787}",20,0,-88.96570702124896,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.015700309410919724}",20,0,-22.715884421320137,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.015483548365231666}",20,0,16.310226447882684,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.015299444225096414}",35,0,30.579439875723292,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.015036230261426288}",30,0,23.041737298808364,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.014854989670951627}",20,0,25.14546226217274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.25, 'e': 0.014751398958115731}",25,0,35.302533187647825,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.25, 'e': 0.014637428454024411}",30,0,-3.0735260419372157,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.014519213888401612}",25,0,32.75793452670654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.25, 'e': 0.014433287487375056}",20,0,-9.576672770329392,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.25, 'e': 0.014371412840308599}",20,0,21.72193405138395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.25, 'e': 0.014314798518342388}",30,0,34.401898108779164,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.25, 'e': 0.014238360691063498}",20,0,27.60046305897329,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.25, 'e': 0.014192297288651233}",20,0,26.704635678751163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.25, 'e': 0.014149642830656249}",20,0,26.520452232890023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.25, 'e': 0.014110032399263488}",20,0,26.780094458859914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.25, 'e': 0.014073151366729094}",25,0,29.655932241271202,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.25, 'e': 0.01403047626368668}",25,0,39.45034450760831,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.25, 'e': 0.013991185385470992}",30,0,36.23376917975471,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.25, 'e': 0.013947962442751658}",25,0,28.188331875070038,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.25, 'e': 0.013914833258820206}",25,0,30.126845963898173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
