trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-99.58027562688862,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.006737946999085467}",20,6,-161.31065390819438,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 3}",1
3,False,"{'a': 0.6, 'e': 0.00020346836901064417}",35,0,-68.26157801990509,"{0: 29, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 3.2241867372567335e-08}",25,0,-18.76819034155869,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 6.224144622907783e-11}",25,0,38.87252083037365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 1.2015425731771786e-13}",30,0,17.79023936680196,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 6.64554417291507e-17}",20,0,24.748020332381028,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 4.4777324417183015e-19}",25,7,20.184684365388943,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 4.974311419422388e-21}",20,0,21.999490155803137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 3.351664670101365e-23}",30,0,-16.34939172177539,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.6, 'e': 1.8537533430097598e-26}",35,0,40.73342976621608,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 2.9374821117108028e-30}",20,0,-35.033876575261836,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.6, 'e': 1.9792598779469045e-32}",30,0,29.073100672787074,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 1.0946977029531417e-35}",25,0,33.14477034712394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 2.1132637085848645e-38}",20,0,-37.94710904798392,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 1.4239058863535613e-40}",20,0,13.901713237972029,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 9.594202393936111e-43}",25,13,21.465384362058085,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 4.77667210522021e-44}",20,0,19.469973553525044,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 3.2184963476983778e-46}",30,0,31.035673203544075,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 1.78010002528986e-49}",20,0,22.059241133268866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.6, 'e': 1.1994219623473776e-51}",30,0,-44.74802720486248,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.6, 'e': 6.63381540586378e-55}",30,16,27.94953433025131,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.6, 'e': 2.0032386736375198e-56}",35,0,46.38378371451341,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.6, 'e': 3.1743585474772134e-60}",20,0,26.862044792468478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.6, 'e': 2.138865964899539e-62}",25,2,-6.267918402532954,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.6, 'e': 6.807541519390373e-65}",20,0,26.678823535206373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.6, 'e': 4.586885395172608e-67}",25,0,32.793204243671255,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.6, 'e': 8.854771883513433e-70}",20,0,-10.093620446338234,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.6, 'e': 5.96629836401057e-72}",25,0,33.9866040189025,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.6, 'e': 1.151766535477282e-74}",20,0,-25.53184857351738,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
11,True,"{'a': 0.6, 'e': 7.760541871366218e-77}",25,0,-9.043694724355106,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,True,"{'a': 0.6, 'e': 1.4981370154947242e-79}",20,0,26.129586744868348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
