trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 10}",20,0,-36.57268165317921,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 10}",20,0,-125.33586810311726,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 10}",20,0,-103.36839631902232,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 10}",30,0,-75.02917322245224,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 10}",30,0,-144.96377233289985,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 10}",20,0,-54.084036095103265,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 10}",30,0,-195.850052579582,"{0: 14, 1: 2, 2: 10, 3: 3, 4: 1}",0
8,False,"{'a': 0.8, 'e': 10}",20,8,-22.962680631969416,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 10}",35,0,-148.62338959056726,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 10}",20,0,-164.8433898372832,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 10}",20,0,-165.67877486404444,"{0: 6, 1: 3, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.8, 'e': 10}",30,0,-108.65273669583318,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 10}",20,0,-139.1143162346289,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 10}",20,0,-122.74912386064399,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 10}",20,0,-110.57783301089229,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.8, 'e': 10}",20,0,-99.85503051440456,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.8, 'e': 10}",25,0,-218.54651671013033,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.8, 'e': 10}",25,0,-90.21071168610891,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 10}",20,0,-24.3805607068315,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 10}",20,0,-115.40200933586023,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.8, 'e': 10}",25,9,-166.13092450467872,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 3}",1
2,True,"{'a': 0.8, 'e': 10}",20,0,-144.555422910409,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.8, 'e': 10}",20,0,-101.30977912933102,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.8, 'e': 10}",35,0,-230.82640642677086,"{0: 15, 1: 11, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.8, 'e': 10}",20,0,-118.93844871508837,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.8, 'e': 10}",35,11,-141.67839567346132,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 2}",1
7,True,"{'a': 0.8, 'e': 10}",25,0,-44.6602507623004,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.8, 'e': 10}",25,0,-122.69796212445333,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.8, 'e': 10}",20,0,-106.8713555559641,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.8, 'e': 10}",30,16,-24.81862574171761,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
